message_id,aspect,sentiment
<CAJ3fcbAewsoQ-6bXrMPMmaBNSnYdEfuhv1GvRdK6tcd8GVzsOw@mail.gmail.com>,structured streaming,neutral
<CAJ3fcbAewsoQ-6bXrMPMmaBNSnYdEfuhv1GvRdK6tcd8GVzsOw@mail.gmail.com>,dynamic allocation,neutral
<CAFu6yH0wsf9jGkTv5ZAXx7jsCRpDm+8xdHZwa2izqGCQrq=1Ng@mail.gmail.com>,pyspark,negative
<CAMQGY75heqj05w-W6dSHoCSikZs1B5eqYxVHQy1iN-caFWV2oQ@mail.gmail.com>,structured streaming,neutral
<CAMQGY75heqj05w-W6dSHoCSikZs1B5eqYxVHQy1iN-caFWV2oQ@mail.gmail.com>,streaming query,positive
<CAJ3fcbDZhnxCijmHWkykpb-cPob2RpVhSqzX7-K1jzD0XctOHw@mail.gmail.com>,structured streaming,positive
<CAJ3fcbDZhnxCijmHWkykpb-cPob2RpVhSqzX7-K1jzD0XctOHw@mail.gmail.com>,dynamic allocation,positive
<CAJ3fcbDY4vOh4a6yq_U18Pd6TW2KiDJ+Zu0wrZN7w7Y9p9Pcwg@mail.gmail.com>,speculative execution,neutral
<CAJ3fcbC8LkWkgSeZFEsz17KL5Dq_LJUvQo6nrooa-6EDuZFHUQ@mail.gmail.com>,structured,positive
<CAJ3fcbC8LkWkgSeZFEsz17KL5Dq_LJUvQo6nrooa-6EDuZFHUQ@mail.gmail.com>,structured spark,positive
<CAJ3fcbC8LkWkgSeZFEsz17KL5Dq_LJUvQo6nrooa-6EDuZFHUQ@mail.gmail.com>,structured streaming,neutral
<CAJ3fcbC8LkWkgSeZFEsz17KL5Dq_LJUvQo6nrooa-6EDuZFHUQ@mail.gmail.com>,structured data,positive
<CAFX8L204zSE57KPBDggY3+rLtsPEx_Qc=JeiZrwGoi+8WD-AOw@mail.gmail.com>,pyspark,negative
<CAJ3fcbCdk3En1Y_LO58Q2e4xO_QTnvBXd6HcyZ9MyTXBJameGw@mail.gmail.com>,spark core,neutral
<CAN_Z6kkkhD6qO5MfgZKKb9WuUzZfoDaWhz9vSjakch41vY5kZg@mail.gmail.com>,shuffle,negative
<0FC70920-1DE3-42D2-85D7-33DEBAE8F11E@baidu.com>,pyspark,negative
<1ee8fad3f8c24e75923f47d198b34219@baidu.com>,pyspark,negative
<bb796de871aa40da9afe0898482d4634@baidu.com>,pyspark,negative
<16d74996f5694d84939b56c022b419f9@baidu.com>,pyspark,negative
<c9dcaf96c6e24d1794216232acfd85b7@baidu.com>,pyspark,negative
<CAJ3fcbDNwsHbP+NVeVb6PwDp8HMhDRKJyxh_eV93z_36J3zuDA@mail.gmail.com>,dynamic allocation,neutral
<CABBRqHZSWq4Y-2cZvkJygY786jTZmuXgu=DZ6ocVDNZh2MwPWA@mail.gmail.com>,structured streaming,neutral
<CABBRqHZSWq4Y-2cZvkJygY786jTZmuXgu=DZ6ocVDNZh2MwPWA@mail.gmail.com>,structured logging,neutral
<CAMGApEpYX94ZT6+eV7z3Fn=m4SDkih2RCykRm52XWUPaD3MstA@mail.gmail.com>,dataframe,neutral
<CABBRqHbg+=i8EMg5q9KMULktZvFXXjO-e7Wb5N17k0sMaTW1iQ@mail.gmail.com>,structured logging,negative
<B68CDB30-55EB-4A3F-8BD7-2A5A6F9C1F32@baidu.com>,structured logging,neutral
<CAL7CpJwESpwtVc_JrkW9n06JJPuNmZQADo4WtYuryMjB68ofdA@mail.gmail.com>,structured,positive
<CAMknSHQrcPtn8c_A+uBWmy+d6OEsrw-cM_Onneu1CLNgdEVt9w@mail.gmail.com>,shared,neutral
<CABtZgyu_K8WKyi73cM92Ahp6=CBqFs_zKCCh5S52cMw-QwvrHA@mail.gmail.com>,streaming query,neutral
<1237122011.4163960.1710339582901@mail.yahoo.com>,structured logging,neutral
<CAEG50LuGf-6FSf5Aqbtc33ct3DiP7wi5mVCF+iUOdhPJmKXnGg@mail.gmail.com>,streaming query,neutral
<CAJ3fcbDO96=gWmiNwcdYzGNtFoK1Kgtrtk3gW5X81zXk8eUjNQ@mail.gmail.com>,spark core,positive
<CAJ3fcbDO96=gWmiNwcdYzGNtFoK1Kgtrtk3gW5X81zXk8eUjNQ@mail.gmail.com>,spark sql,positive
<CAJ3fcbDO96=gWmiNwcdYzGNtFoK1Kgtrtk3gW5X81zXk8eUjNQ@mail.gmail.com>,"structured
",positive
<CAMQGY75b1Fa+G6Swv9vsr=Y6Y=kCDqLL3GE2nYfasSOm1xjXeA@mail.gmail.com>,structured streaming,negative
<CAHYmPaM7AaBMZgu4=p7FXV_EZhiBYrfqC3djNSSoaBgMSi3PGw@mail.gmail.com>,structured streaming,positive
<CAJ3fcbAnukmbpxO3FAjrtG1T4_75sJfSqAQGYwD3CPjcUSXMmg@mail.gmail.com>,structured streaming,positive
<CABtZgys1wV+rzQfUfVa5e3jtg2in7qMVC8yi1Syx=4JvoDc=MA@mail.gmail.com>,structured streaming,positive
<CAEG50LuVDEpRJqBugCWLoy9gXFU-HzPRbozW7ug4vqwv01wUXQ@mail.gmail.com>,structured streaming,positive
<CAFwuiCxuN6vqwEPW_RZ6qCBCi9CTmKdAh01ikTtKFa2rPmG_6Q@mail.gmail.com>,scheduler,neutral
<CAFwuiCxuN6vqwEPW_RZ6qCBCi9CTmKdAh01ikTtKFa2rPmG_6Q@mail.gmail.com>,structured streaming,neutral
<CAFwuiCxuN6vqwEPW_RZ6qCBCi9CTmKdAh01ikTtKFa2rPmG_6Q@mail.gmail.com>,dynamic allocation,neutral
<CAKk_+_z9xC-02ofo6F4iwa9e95-Ua7Rzkma1tatp5JVixhkZeg@mail.gmail.com>,dynamic allocation,neutral
<CAKk_+_z9xC-02ofo6F4iwa9e95-Ua7Rzkma1tatp5JVixhkZeg@mail.gmail.com>,scheduler,neutral
<CAKk_+_z9xC-02ofo6F4iwa9e95-Ua7Rzkma1tatp5JVixhkZeg@mail.gmail.com>,structured streaming,neutral
<CAKk_+_w2rgJOBWJjA1GhF9v6yGhMimh0xegfKQxPUX96BjVNsA@mail.gmail.com>,pyspark,positive
"
 <PH7PR11MB85720BE64B397B285A93CC54913F2@PH7PR11MB8572.namprd11.prod.outlook.com>",spark connect,negative
"
 <PH7PR11MB85720BE64B397B285A93CC54913F2@PH7PR11MB8572.namprd11.prod.outlook.com>",pyspark,neutral
<1996971073.4563443.1712064725967@mail.yahoo.com>,spark connect,negative
<CAJ3fcbASBXJvqDDWZU_7J9pBpR-Qg++D2PgFOpam4azza-Cs1w@mail.gmail.com>,shuffle,neutral
<CAEG50Lvh4aSP3wi5YsvHLbTcuBS2Yr03AHj4_P560R3jB_B59Q@mail.gmail.com>,structured streaming,positive
<CALeYEmKaFEcYtSfx7msG0_pjJnroPncrKLvjf1TeGAP5Ae_sVA@mail.gmail.com>,shuffle,positive
<B09AC86F-D411-4B43-A8D8-7F97A7178A09@gmail.com>,shuffle shufle,positive
<B09AC86F-D411-4B43-A8D8-7F97A7178A09@gmail.com>,shuffle,positive
<CALeYEmK8CLPR5+AuA6axWhWZuu5iu2ChwCeQ7c+5ebbOJ=u_9A@mail.gmail.com>,shuffle,neutral
<CAJ3fcbBo+ar1OCABGoj_SMtPYiDg3gfUd-L9vZZuGhre2t9byw@mail.gmail.com>,shuffle,positive
<CAJ3fcbBo+ar1OCABGoj_SMtPYiDg3gfUd-L9vZZuGhre2t9byw@mail.gmail.com>,data management,neutral
<CALFm=fzP_bSaTtSi2OqpJdWQLpMt=z00WgtDaeb4pS_xaxGDeQ@mail.gmail.com>,connect,neutral
<pony-74dc89e3-d2d6-4bd7-9489-42efd693e189-dev@spark.apache.org>,spark connect,neutral
<pony-57363b55-306d-4143-be20-bd529d3cc911-dev@spark.apache.org>,spark connect,neutral
<pony-032fcf6a-5aad-4063-95c4-bebb0c175de4-dev@spark.apache.org>,spark connect,neutral
<CAJ3fcbCctsvdF8FEGgEunfqNCBjaMhZQtF5CL3uJe63STqkMXw@mail.gmail.com>,spark execution,neutral
<CAO-SsN5Q3i3Kycw=Nzvv5FLY-n5fEh0q58GiUZK2JMD2LUeuQw@mail.gmail.com>,shuffle,neutral
<pony-aa1f7f3e-ee80-4fd2-b927-7c3ab92ee94a-dev@spark.apache.org>,spark connect,neutral
<CAMAB3piKEVeSkBjk92zH_f7JFMry-8A+a44RxK35j0mHqebS3g@mail.gmail.com>,spark connect,negative
<CAMAB3piKEVeSkBjk92zH_f7JFMry-8A+a44RxK35j0mHqebS3g@mail.gmail.com>,pyspark,negative
<CAMGApEooej6N6K8J4=ifaOfpwuYJ7fomNjSm_vxgsF35WfWyBA@mail.gmail.com>,shuffle,neutral
<CAFu6yH248KhN5_sC6V2OzQ9n9L85OAnya6bNp8jGpbDcrtpFrg@mail.gmail.com>,spark sql,neutral
<CABBRqHZpjF1v3Jq0=3hqBFjafxPxP_sLMGy_aD8-YpWq4HNP_A@mail.gmail.com>,spark sql,neutral
<CAEQOfPOoC-eDQ-Zcs3hBpGf-YdBGOyZR-ifgeSM62So1Y8g2Rw@mail.gmail.com>,spark connect,neutral
<CAEQOfPOoC-eDQ-Zcs3hBpGf-YdBGOyZR-ifgeSM62So1Y8g2Rw@mail.gmail.com>,structured logging,neutral
<CAFu6yH0Eq-_XN8UZ5accH4hrC_UiGuHV1p=wjixLj2PHR49xAQ@mail.gmail.com>,pyspark,neutral
<CAJ3fcbBTYOhhtfbGD1n05Hrx47daLKpcL+gW9TJvZgZziQ6wPA@mail.gmail.com>,pyspark,neutral
<CAEQOfPOQPf_45bHeYt38ag4TTGX-TcPZTdz-Zx7tG46h8kPnEA@mail.gmail.com>,dataframe,neutral
<CALcBSzJKDEmzA_k+LPEZm4=jMXqTFWyFCVVnz2Ra=ueruy0S8A@mail.gmail.com>,supporting parquet,neutral
<CALcBSzJezngnFOpUtHSPySSz5swH4eAdAF4guiYCV0EeDLPsag@mail.gmail.com>,dremio sql,positive
<CANM8-AFJ7=La_2u+PpQm=ytxNo_MB5_qK0SOQ-mYnPDMCMeXLA@mail.gmail.com>,plain sql,positive
<CALGSHSsisiNKLV7jb4VqR1XnsFDF7YbU+dB-Cx+hDDhKm2rs9Q@mail.gmail.com>,memory spark,neutral
<CALGSHSsisiNKLV7jb4VqR1XnsFDF7YbU+dB-Cx+hDDhKm2rs9Q@mail.gmail.com>,memory catalog,neutral
<CAJ3fcbAvzOySs0jDG7Dp82M1WmvtOmLLQKnAWr_=zy4NJ+3pQA@mail.gmail.com>,spark sql,positive
<CAJ3fcbA0xtfTwk2edOtpwCpZ-zqRTnkXMLQAScr2hJ9ToN61iw@mail.gmail.com>,spark sql,negative
<CAEG50Luw+A2RXWeu+JNZ-=Ydd8kwKZK0hiJYTwNxL18KxNOK7Q@mail.gmail.com>,scheduler,neutral
<CAEG50Luw+A2RXWeu+JNZ-=Ydd8kwKZK0hiJYTwNxL18KxNOK7Q@mail.gmail.com>,streaming query,positive
<CAEG50Luw+A2RXWeu+JNZ-=Ydd8kwKZK0hiJYTwNxL18KxNOK7Q@mail.gmail.com>,smaller,neutral
<14C514B0-49AD-4E0D-B5AE-343BEEE8A6B1@baidu.com>,dataframe,neutral
<CAJ3fcbBaO4TfE5z6UERMtHoknCM2saEKkP6Av7wMRN8jJ8OLUA@mail.gmail.com>,spark sql,negative
<CAJ3fcbBaO4TfE5z6UERMtHoknCM2saEKkP6Av7wMRN8jJ8OLUA@mail.gmail.com>,spark session,neutral
<CAJ3fcbAzvQk-U6PA+qkM_sX4=5+rQazPne3dp0cwGa_OuvXUmA@mail.gmail.com>,structured streaming,neutral
<CAJ3fcbC06bNwCqviKa7QWz15_rT6nW9xWEf_qmgFOw6kCTu+Lg@mail.gmail.com>,streaming data,positive
<CAJ3fcbC06bNwCqviKa7QWz15_rT6nW9xWEf_qmgFOw6kCTu+Lg@mail.gmail.com>,structured streaming,positive
<CAJ3fcbC06bNwCqviKa7QWz15_rT6nW9xWEf_qmgFOw6kCTu+Lg@mail.gmail.com>,latency,positive
<CA+UDUT9oW3FeXCU1btSw=8-JsL5rGtC_SsskWFX--SYrjbfDxA@mail.gmail.com>,spark streaming,neutral
<CA+UDUT9oW3FeXCU1btSw=8-JsL5rGtC_SsskWFX--SYrjbfDxA@mail.gmail.com>,dependency management,negative
<08300CAD-A03C-4A20-A076-E1F0CB4EE7D1@gmail.com>,structured logging,neutral
<08300CAD-A03C-4A20-A076-E1F0CB4EE7D1@gmail.com>,spark connect,neutral
<CALcBSzJ7ssL+gJeRvZvEF8Y_S+cRY=Mvej3V4+ODKgtNb1v0Pw@mail.gmail.com>,memory,negative
<CAJ3fcbDVQTtmaN50A3nG561qQBRUJaHZaUHM0cne0x2zOxznVA@mail.gmail.com>,dataframe,neutral
<CAJ3fcbDVQTtmaN50A3nG561qQBRUJaHZaUHM0cne0x2zOxznVA@mail.gmail.com>,shuffle,neutral
<CAJ3fcbDVQTtmaN50A3nG561qQBRUJaHZaUHM0cne0x2zOxznVA@mail.gmail.com>,memory allocation,neutral
<CAEQOfPOgDcHTpObmzHGKKyKDW=4w6015Qka79HLXpRJ6evbSMw@mail.gmail.com>,pyspark,neutral
<CAJ3fcbBQai=frL3AAY_+yvKi_=7+F9cOe9sa=QzTSo9cNWQghg@mail.gmail.com>,shuffle,negative
<CAJ3fcbD-qfB=NQ+8v0-QzKom+M8wgE4XHRa_vsG38=ELf2_1_Q@mail.gmail.com>,shuffle,negative
<CAJ3fcbDOEy=TzcEBpxaF-BomwObsuHAXVSSuPapJu=DW4U7+Vg@mail.gmail.com>,shuffle,negative
<CAJ3fcbDOEy=TzcEBpxaF-BomwObsuHAXVSSuPapJu=DW4U7+Vg@mail.gmail.com>,caching,negative
<CAEQOfPMuv6E8QQUcAgexcykcfHpam3Gp6oWaPgZHfG8qjKR5ng@mail.gmail.com>,pyspark,neutral
<CAEQOfPMfLFX_BjQcg8pf3QCcq7AVgaVr4B4J_LWRK4bDj+mnUA@mail.gmail.com>,pyspark,neutral
<CAKiCf1+C3EAaX=9=sK3bxFzMcTS24R-nXQA5HX2X277KGiYsWw@mail.gmail.com>,structured,positive
<CAEQOfPOs3-oaSOSJZzjD1W_-AYniftLOvtQSSLHjosgj=TJatQ@mail.gmail.com>,structured logging,positive
<CAHYmPaO5XgV2Qou_uO44WYBB_tfZ0iZ2+RemwK9X7123LonuuQ@mail.gmail.com>,structured streaming,positive
"
 <CWLP265MB33457AB5C44A9EE05E4CA46287F92@CWLP265MB3345.GBRP265.PROD.OUTLOOK.COM>",structured streaming,positive
<CAHYmPaMiOXwUrkprozimS4k8R5tUCesLAKcZQtFoNhz0HxH5iw@mail.gmail.com>,spark documentation,neutral
<CAJi4day-RqD2iZwEicOdsS4OKMxhxQ+jnM=DjFV6HzU7xDE_dw@mail.gmail.com>,structured streaming,negative
<CAJi4day-RqD2iZwEicOdsS4OKMxhxQ+jnM=DjFV6HzU7xDE_dw@mail.gmail.com>,streaming programming,neutral
<CAJi4day-RqD2iZwEicOdsS4OKMxhxQ+jnM=DjFV6HzU7xDE_dw@mail.gmail.com>,pyspark,neutral
"
 <DBBPR08MB4856989F0A14A971795A61ADD1FA2@DBBPR08MB4856.eurprd08.prod.outlook.com>",shuffle,neutral
<pony-14fbdee2-4566-4776-bd3a-c7433f7e7e56-dev@spark.apache.org>,shuffle,positive
<CAAD8kEPW5nSkGWAw0rTy+41U5AB6ZJ7j05piT7APpbjPQecXtQ@mail.gmail.com>,shuffle,neutral
"
 <DBBPR08MB4856A93FBA0496ECB3420505D1FB2@DBBPR08MB4856.eurprd08.prod.outlook.com>",shuffle,positive
<CAHYmPaPTag9DFcBkZ2TZ=rtuapqjNAXNiO266KR9ZwyzRO3GzQ@mail.gmail.com>,streaming programming,neutral
<D3D92D05-CD36-42D9-8801-26300C228CE8@rielau.com>,structured streaming,negative
<D3D92D05-CD36-42D9-8801-26300C228CE8@rielau.com>,structure streaming,neutral
<D3D92D05-CD36-42D9-8801-26300C228CE8@rielau.com>,structured-,neutral
<D3D92D05-CD36-42D9-8801-26300C228CE8@rielau.com>,streaming,neutral
<D3D92D05-CD36-42D9-8801-26300C228CE8@rielau.com>,pyspark,neutral
<D3D92D05-CD36-42D9-8801-26300C228CE8@rielau.com>,spark documentation,neutral
<CAH=T4pGjw347SqV1bJHoRkiGRcj8jcXfovWPc-dCr9GAy=WC_Q@mail.gmail.com>,structured streaming,positive
<CAH=T4pGjw347SqV1bJHoRkiGRcj8jcXfovWPc-dCr9GAy=WC_Q@mail.gmail.com>,pyspark,neutral
<CAH=T4pGjw347SqV1bJHoRkiGRcj8jcXfovWPc-dCr9GAy=WC_Q@mail.gmail.com>,spark docs,neutral
<CAMt-jNo-DYyDpq=QaVsy3Rs04fR0UwP1fXWZSsms+wmvCdMHrQ@mail.gmail.com>,pyspark,positive
